cash,strategy,seed,minutes,garage,minCash,profitAt,upgradeAt,clients,MRR,rep,servers
1000,aggressive,1,72.3,true,100,18.0,6.9,58,14059,100,4
1000,aggressive,7,72.3,true,150,18.3,8.7,57,14314,100,4
1000,aggressive,42,72.3,true,105,22.5,3.3,56,15470,100,4
1000,aggressive,123,72.3,true,133,18.3,6.0,54,14043,100,4
1000,aggressive,999,63.3,true,145,17.1,3.3,52,14544,100,4
1000,conservative,1,99.3,true,159,45.3,13.8,47,13349,100,4
1000,conservative,7,126.3,true,145,56.1,54.3,55,12840,100,4
1000,conservative,42,108.3,true,109,54.3,38.1,53,15187,100,4
1000,conservative,123,126.3,true,56,54.3,54.3,54,14913,100,4
1000,conservative,999,126.3,true,-79,54.3,22.8,50,15218,100,4
1000,poorPurchases,1,90.3,true,51,36.3,0.3,57,14925,100,4
1000,poorPurchases,7,90.3,true,49,37.5,0.3,58,15326,100,4
1000,poorPurchases,42,90.3,true,49,36.3,0.3,55,15331,98,4
1000,poorPurchases,123,90.3,true,22,37.5,0.3,55,13945,100,4
1000,poorPurchases,999,90.3,true,137,36.3,0.3,53,14775,100,4
1000,prematureUpgrades,1,108.3,true,159,57.9,0.3,58,13929,100,4
1000,prematureUpgrades,7,90.3,true,268,18.3,0.3,60,14536,100,4
1000,prematureUpgrades,42,63.3,true,193,19.2,0.3,56,14325,100,4
1000,prematureUpgrades,123,90.3,true,300,20.7,0.3,60,13726,100,4
1000,prematureUpgrades,999,90.3,true,269,18.6,0.3,64,13831,100,4
1000,lowAcceptance,1,126.3,true,41,27.3,13.8,20,6244,100,2
1000,lowAcceptance,7,130.8,true,58,22.8,13.8,12,4956,100,2
1000,lowAcceptance,42,135.3,true,-136,49.8,13.8,23,7383,100,3
1000,lowAcceptance,123,108.3,true,360,31.8,13.8,20,7322,100,2
1000,lowAcceptance,999,139.8,true,382,18.3,13.8,12,3829,100,3
1000,highAcceptance,1,90.3,true,46,45.3,6.9,72,13682,100,4
1000,highAcceptance,7,99.3,true,23,45.3,8.7,79,13105,100,4
1000,highAcceptance,42,90.3,true,118,45.3,3.3,73,13799,100,4
1000,highAcceptance,123,108.3,true,280,27.3,6.0,84,12449,100,4
1000,highAcceptance,999,90.3,true,117,39.6,3.3,75,13620,100,4
1000,unluckyChurn,1,81.3,true,235,18.3,6.9,52,14784,99,4
1000,unluckyChurn,7,81.3,true,243,18.3,8.7,53,15255,99,4
1000,unluckyChurn,42,108.3,true,286,29.1,3.3,56,14834,99,4
1000,unluckyChurn,123,81.3,true,390,15.6,6.0,59,15339,100,4
1000,unluckyChurn,999,81.3,true,240,20.1,3.3,53,13597,99,4
1300,aggressive,1,72.3,true,117,18.0,6.9,59,14375,100,4
1300,aggressive,7,63.3,true,130,19.2,8.7,54,14584,99,4
1300,aggressive,42,63.3,true,109,17.1,3.3,54,14888,100,4
1300,aggressive,123,63.3,true,124,15.6,6.0,58,14564,100,4
1300,aggressive,999,63.3,true,90,18.9,3.3,56,13908,100,4
1300,conservative,1,135.3,true,134,79.5,7.5,55,14251,100,4
1300,conservative,7,135.3,true,138,81.3,9.3,55,11896,100,4
1300,conservative,42,126.3,true,-130,63.3,3.9,49,13567,100,4
1300,conservative,123,135.3,true,24,72.3,6.6,51,12848,100,4
1300,conservative,999,126.3,true,-30,63.3,3.9,54,15520,100,4
1300,poorPurchases,1,72.3,true,97,18.3,0.3,54,15704,100,4
1300,poorPurchases,7,99.9,true,-139,38.7,0.3,61,14772,98,4
1300,poorPurchases,42,72.3,true,178,18.3,0.3,55,14632,100,4
1300,poorPurchases,123,90.3,true,-173,36.3,0.3,58,14336,100,4
1300,poorPurchases,999,90.3,true,-99,36.3,0.3,52,15865,98,4
1300,prematureUpgrades,1,72.3,true,150,25.5,0.3,58,14539,100,4
1300,prematureUpgrades,7,72.3,true,150,18.3,0.3,57,14882,100,4
1300,prematureUpgrades,42,72.3,true,150,19.2,0.3,61,13060,100,4
1300,prematureUpgrades,123,72.3,true,150,18.0,0.3,63,15045,100,4
1300,prematureUpgrades,999,63.3,true,150,16.2,0.3,60,14326,100,4
1300,lowAcceptance,1,135.3,true,31,27.3,13.8,14,5908,100,2
1300,lowAcceptance,7,117.3,true,514,22.8,13.8,21,6116,100,3
1300,lowAcceptance,42,135.3,true,123,40.8,13.8,21,5233,100,2
1300,lowAcceptance,123,108.3,true,660,31.8,13.8,20,7322,100,2
1300,lowAcceptance,999,135.3,true,462,18.3,13.8,15,6499,100,2
1300,highAcceptance,1,81.3,true,146,36.3,6.9,82,12786,100,4
1300,highAcceptance,7,108.3,true,231,27.3,8.7,77,12737,100,4
1300,highAcceptance,42,108.3,true,277,27.3,3.3,75,12164,100,4
1300,highAcceptance,123,81.3,true,255,15.6,6.0,78,12552,100,4
1300,highAcceptance,999,90.3,true,360,19.8,3.3,80,13123,100,4
1300,unluckyChurn,1,81.3,true,195,18.3,6.9,61,15290,99,4
1300,unluckyChurn,7,81.3,true,343,18.3,8.7,54,15919,100,4
1300,unluckyChurn,42,90.3,true,277,23.7,3.3,51,16198,99,4
1300,unluckyChurn,123,81.3,true,349,15.6,6.0,57,14827,99,4
1300,unluckyChurn,999,72.3,true,291,18.3,3.3,51,14551,99,4
1600,aggressive,1,63.3,true,108,18.0,6.9,52,14219,100,4
1600,aggressive,7,72.3,true,107,19.2,8.7,58,14822,100,4
1600,aggressive,42,72.3,true,182,19.8,3.3,51,15554,100,4
1600,aggressive,123,63.3,true,37,15.6,6.0,56,14037,100,4
1600,aggressive,999,63.3,true,126,17.4,3.3,50,14255,100,4
1600,conservative,1,117.3,true,1005,27.3,7.5,52,13131,100,4
1600,conservative,7,117.3,true,924,19.2,9.3,59,12485,100,4
1600,conservative,42,90.3,true,1003,18.3,3.9,51,12063,100,4
1600,conservative,123,207.3,true,983,33.6,6.6,51,12160,100,4
1600,conservative,999,162.3,true,863,37.5,3.9,52,15004,100,4
1600,poorPurchases,1,90.3,true,-107,36.3,0.3,51,15685,100,4
1600,poorPurchases,7,90.3,true,-1,37.5,0.3,59,13856,100,4
1600,poorPurchases,42,90.3,true,-15,36.3,0.3,55,14678,100,4
1600,poorPurchases,123,90.3,true,-20,36.3,0.3,61,14558,100,4
1600,poorPurchases,999,90.3,true,58,37.5,0.3,53,14276,100,4
1600,prematureUpgrades,1,90.3,true,270,27.0,0.3,58,14061,100,4
1600,prematureUpgrades,7,81.3,true,370,18.3,0.3,56,14171,100,4
1600,prematureUpgrades,42,81.3,true,345,19.2,0.3,59,14518,100,4
1600,prematureUpgrades,123,72.3,true,278,18.3,0.3,61,15039,100,4
1600,prematureUpgrades,999,81.3,true,450,16.2,0.3,62,13687,100,4
1600,lowAcceptance,1,180.3,true,331,27.3,13.8,17,4414,98,2
1600,lowAcceptance,7,117.3,true,464,22.8,13.8,24,7371,100,3
1600,lowAcceptance,42,207.3,true,185,63.3,13.8,12,4876,100,2
1600,lowAcceptance,123,144.3,true,458,31.8,13.8,14,4941,100,2
1600,lowAcceptance,999,135.3,true,762,18.3,13.8,15,6499,100,2
1600,highAcceptance,1,81.3,true,249,18.3,6.9,83,12859,100,4
1600,highAcceptance,7,90.3,true,350,25.5,8.7,84,11435,100,4
1600,highAcceptance,42,90.3,true,357,19.8,3.3,86,11319,100,4
1600,highAcceptance,123,90.3,true,262,15.6,6.0,83,12518,100,4
1600,highAcceptance,999,90.3,true,222,27.3,3.3,74,13189,100,4
1600,unluckyChurn,1,72.3,true,336,18.3,6.9,57,15395,99,4
1600,unluckyChurn,7,72.3,true,424,18.3,8.7,55,14004,100,4
1600,unluckyChurn,42,81.3,true,357,16.5,3.3,56,14817,100,4
1600,unluckyChurn,123,81.3,true,425,15.6,6.0,54,15542,99,4
1600,unluckyChurn,999,72.3,true,369,15.6,3.3,57,14946,100,4
1900,aggressive,1,72.3,true,111,18.0,6.9,57,14488,100,4
1900,aggressive,7,72.3,true,168,18.3,8.7,56,14006,97,4
1900,aggressive,42,63.3,true,75,19.2,3.3,53,14938,98,4
1900,aggressive,123,63.3,true,173,15.6,6.0,51,14396,97,4
1900,aggressive,999,63.3,true,197,17.1,3.3,51,13722,100,4
1900,conservative,1,108.3,true,1000,29.1,7.5,50,13632,100,4
1900,conservative,7,90.3,true,956,27.3,9.3,57,15086,100,4
1900,conservative,42,135.3,true,142,81.3,3.9,56,13333,100,4
1900,conservative,123,81.3,true,1017,18.3,6.6,50,13398,100,4
1900,conservative,999,81.3,true,782,19.2,3.9,56,13780,100,4
1900,poorPurchases,1,90.3,true,192,36.3,0.3,60,14805,100,4
1900,poorPurchases,7,90.3,true,57,36.3,0.3,57,15379,100,4
1900,poorPurchases,42,81.9,true,-134,36.3,0.3,56,14282,100,4
1900,poorPurchases,123,99.9,true,-116,45.9,0.3,57,14918,100,4
1900,poorPurchases,999,99.9,true,-17,45.9,0.3,57,14367,100,4
1900,prematureUpgrades,1,81.3,true,350,25.5,0.3,58,15658,100,4
1900,prematureUpgrades,7,72.3,true,373,18.3,0.3,55,15238,100,4
1900,prematureUpgrades,42,72.3,true,418,19.2,0.3,55,14654,100,4
1900,prematureUpgrades,123,72.3,true,391,18.0,0.3,63,13657,100,4
1900,prematureUpgrades,999,81.3,true,406,16.2,0.3,63,14003,100,4
1900,lowAcceptance,1,153.3,true,471,27.3,13.8,16,6389,100,2
1900,lowAcceptance,7,108.3,true,445,22.8,13.8,18,5365,100,2
